playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl,season_year,season_code
1,7.0,0.0,2.892857142857143,0.0,0.0,0.3,0%,0.0,0.1,0%,0.0,0.3,0%,0.1,0.3,0.4,0.4,0.0,0.4,0.0,0.0,0.6,0.1,-0.7,003521,"BALBAY, DOGUS",26,https://media-cdn.incrowdsports.com/0a0748cc-b881-47d6-a8ff-19a51b692cb0.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png,2015,E2015
2,10.0,1.0,12.143333333333334,1.2,0.3,0.8,37.5%,0.1,1.7,5.9%,0.3,0.4,75%,0.2,0.9,1.1,0.1,0.1,0.9,0.4,0.1,0.9,0.6,-0.6,005004,"GRUSZECKI, KAROL",26,https://media-cdn.cortextech.io/2b0e7112-7134-4cd4-a9d7-f1b197a1408a.png,GSS,ZGA,GSS Akcyjna,https://media-cdn.incrowdsports.com/abebfbc3-2dcd-4cc5-91f3-37dae527f363.png,2015,E2015
3,7.0,2.0,6.49047619047619,0.6,0.1,1.0,14.3%,0.0,0.6,0%,0.3,0.6,50%,0.6,0.7,1.3,0.6,0.3,0.3,0.1,0.1,1.7,0.6,-0.4,004008,"TEJIC, MARKO",20,https://media-cdn.cortextech.io/6dd62400-2d7d-4de3-b3d7-0775ac3e1e94.png,RED,CZT,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png,2015,E2015
4,10.0,2.0,5.375,1.4,0.6,1.4,42.9%,0.0,0.0,0%,0.2,0.2,100%,0.2,0.3,0.5,0.0,0.0,0.4,0.0,0.2,1.1,0.2,-0.4,BRS,"IDBIHI, YASSIN",32,https://media-cdn.cortextech.io/c0ed81d2-4f99-41cd-8be3-cbaac5ad2244.png,BAM,BRO,Bamberger Basketball GmbH,https://media-cdn.incrowdsports.com/85cdd43a-2bbd-4f73-b8f7-76288a5193cb.png,2015,E2015
5,9.0,2.0,10.046296296296298,1.9,0.7,1.3,50%,0.1,1.3,8.3%,0.2,0.2,100%,0.4,0.6,1.0,0.6,0.4,0.2,0.0,0.1,1.7,0.2,0.2,002081,"CERELLA, BRUNO",29,https://media-cdn.incrowdsports.com/e896caad-e221-46e1-8301-84180f183965.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png,2015,E2015
6,8.0,0.0,9.752083333333333,0.6,0.1,0.4,33.3%,0.1,1.1,11.1%,0.0,0.0,0%,0.1,0.5,0.6,0.2,0.2,0.0,0.0,0.1,0.8,0.6,0.2,KPC,"D'ERCOLE, LORENZO",27,https://media-cdn.cortextech.io/cb7c0f9a-7028-4c84-ac99-be6d9a844e64.png,SAS,DSS,Polisportiva Dinamo,https://media-cdn.incrowdsports.com/f2916aea-9c1a-46ff-aa3a-04765cb2a60e.png,2015,E2015
7,6.0,1.0,13.81111111111111,1.2,0.3,0.7,50%,0.2,0.8,20%,0.0,0.0,0%,0.5,0.5,1.0,0.7,0.3,0.3,0.0,0.0,1.7,0.2,0.3,005980,"FORMENTI, MATTEO",33,https://media-cdn.cortextech.io/1b65ed2e-02fa-47f5-8276-467febe117c2.png,SAS,DSS,Polisportiva Dinamo,https://media-cdn.incrowdsports.com/f2916aea-9c1a-46ff-aa3a-04765cb2a60e.png,2015,E2015
8,10.0,3.0,14.535,3.3,1.5,3.9,38.5%,0.0,0.0,0%,0.3,0.6,50%,1.1,1.5,2.6,0.7,0.1,1.3,0.0,0.4,3.0,1.1,0.4,001210,"HRYCANIUK, ADAM",31,https://media-cdn.cortextech.io/398df41e-c89e-40a6-a26a-19b95224c62b.png,GSS,ZGA,GSS Akcyjna,https://media-cdn.incrowdsports.com/abebfbc3-2dcd-4cc5-91f3-37dae527f363.png,2015,E2015
9,6.0,1.0,6.922222222222222,1.0,0.2,0.3,50%,0.0,0.7,0%,0.7,0.7,100%,0.5,0.7,1.2,0.5,0.0,0.7,0.2,0.0,1.2,0.3,0.5,003389,"WOJCIECHOWSKI, MATHIEU",23,https://media-cdn.cortextech.io/edc33685-bd48-4981-885e-01c5dbd7f7bb.png,LMG,LIM,Limoges Cercle Saint-Pierre,https://media-cdn.incrowdsports.com/bb6b25c9-7720-4603-96c8-f5f6205e8a19.png,2015,E2015
10,7.0,0.0,4.721428571428571,1.9,0.7,1.4,50%,0.1,0.3,50%,0.0,0.0,0%,0.1,0.7,0.9,0.0,0.0,0.0,0.0,0.1,1.1,0.0,0.6,005353,"YURTSEVEN, OMER",17,https://media-cdn.cortextech.io/29d995d1-2556-48d7-9870-ef5f214a4a5c.png,ULK,FNB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png,2015,E2015
11,9.0,0.0,17.194444444444443,4.0,0.4,1.1,40%,0.8,3.2,24.1%,0.8,1.4,53.8%,0.3,0.9,1.2,1.0,0.2,1.6,0.0,0.0,1.8,1.6,0.9,ARN,"ARSLAN, ENDER",32,https://media-cdn.cortextech.io/4277b9f8-0e9a-436d-9f72-2ab81293fd46.png,DAR,DDI,Darussafaka Basketbol,https://media-cdn.incrowdsports.com/9ceb124a-7ee1-4db5-8d8c-7d485980b989.png,2015,E2015
12,10.0,0.0,6.9783333333333335,1.7,0.3,0.5,60%,0.3,0.9,33.3%,0.2,0.3,66.7%,0.1,0.2,0.3,0.4,0.6,0.6,0.0,0.1,1.5,1.0,0.9,004213,"DIAZ, ALBERTO",21,https://media-cdn.cortextech.io/23450ab3-d827-48e4-9a98-2217a7aeefad.png,MAL,UNI,Unicaja Malaga,https://media-cdn.incrowdsports.com/6342214b-684b-421f-8960-5d20354458da.png,2015,E2015
13,6.0,0.0,9.908333333333333,2.2,0.8,1.8,45.5%,0.2,1.5,11.1%,0.0,0.0,0%,0.3,0.8,1.2,1.2,0.2,0.0,0.3,0.0,2.2,0.5,1.0,LXL,"VENE, SIIM-SANDER",25,https://media-cdn.cortextech.io/3a9e1aca-35eb-48ac-af26-c7772cbe35e5.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png,2015,E2015
14,7.0,0.0,10.54047619047619,2.1,0.6,1.4,40%,0.3,1.1,25%,0.1,0.3,50%,0.3,1.1,1.4,0.6,0.3,0.6,0.4,0.6,1.1,0.4,1.1,004549,"BENDER, DRAGAN",18,https://media-cdn.cortextech.io/50b35455-9892-44e4-90b0-0af70117facd.png,TEL,MAC,Maccabi Rapyd Tel Aviv,https://media-cdn.cortextech.io/1b533342-78f5-4932-b714-a7d80b5826b5.png,2015,E2015
15,6.0,0.0,8.977777777777778,2.0,1.0,2.3,42.9%,0.0,0.3,0%,0.0,0.0,0%,0.7,0.7,1.3,0.3,0.0,0.7,0.2,0.2,0.8,0.8,1.3,TEN,"TSAIRELIS, MICHALIS",27,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCbqck7/ea027c91-e9f4-4bd9-8f09-6485a989e6cf.png,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png,2015,E2015
15,6.0,0.0,6.966666666666666,3.0,0.5,1.8,27.3%,0.3,1.0,33.3%,1.0,1.3,75%,0.0,0.8,0.8,0.7,0.5,0.8,0.2,0.0,1.5,0.8,1.3,006667,"WALKER, HENRY",28,https://media-cdn.cortextech.io/af62c56c-4038-4391-a750-60cbf84e1327.png,CED,CED,KK Cedevita Zagreb,https://media-cdn.incrowdsports.com/ba95084a-224c-4d4a-a306-37a386772f64.png,2015,E2015
17,7.0,1.0,11.883333333333335,3.1,0.3,0.7,40%,0.9,2.7,31.6%,0.0,0.0,0%,0.1,0.9,1.0,0.4,0.3,0.0,0.0,0.0,1.7,0.6,1.4,002969,"MAHMUTOGLU, MELIH",25,https://media-cdn.cortextech.io/f3c95ee0-c4ac-4f3a-ae7a-fb6dfd3723b9.png,ULK,FNB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png,2015,E2015
18,6.0,5.0,21.016666666666666,4.8,0.8,3.0,27.8%,0.7,2.5,26.7%,1.2,1.3,87.5%,0.2,1.2,1.3,2.5,0.5,1.8,0.2,0.2,3.3,1.7,1.5,001257,"REYNOLDS, JR",31,https://media-cdn.cortextech.io/294c4304-c635-49c0-886a-2cc556bf39da.png,GSS,ZGA,GSS Akcyjna,https://media-cdn.incrowdsports.com/abebfbc3-2dcd-4cc5-91f3-37dae527f363.png,2015,E2015
19,7.0,1.0,10.092857142857143,3.3,0.4,1.1,37.5%,0.6,1.3,44.4%,0.7,0.9,83.3%,0.0,0.7,0.7,0.6,0.0,0.7,0.0,0.3,1.0,0.6,1.6,000109,"CETIN, SERHAT",29,https://media-cdn.cortextech.io/01c357be-2e7c-4c96-9930-03a870bdb56b.png,DAR,DDI,Darussafaka Basketbol,https://media-cdn.incrowdsports.com/9ceb124a-7ee1-4db5-8d8c-7d485980b989.png,2015,E2015
20,10.0,0.0,8.959999999999999,2.3,0.3,0.9,33.3%,0.5,1.6,31.2%,0.2,0.6,33.3%,0.2,1.0,1.2,1.0,0.3,0.8,0.1,0.1,1.3,1.0,1.6,003269,"REBIC, NIKOLA",20,https://media-cdn.cortextech.io/ed175268-45b0-4296-9860-7073b0f9c3bb.png,RED,CZT,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png,2015,E2015
21,6.0,2.0,22.65833333333333,7.5,1.8,5.3,34.4%,1.0,4.3,23.1%,0.8,1.0,83.3%,0.3,1.0,1.3,1.7,0.5,1.8,0.0,0.2,2.3,2.0,1.7,006661,"WILBEKIN, SCOTTIE",22,https://media-cdn.cortextech.io/cded951a-8867-4298-b0f2-38bbff80dbd6.png,DAR,DDI,Darussafaka Basketbol,https://media-cdn.incrowdsports.com/9ceb124a-7ee1-4db5-8d8c-7d485980b989.png,2015,E2015
22,10.0,10.0,10.67,3.0,1.2,2.4,50%,0.0,0.0,0%,0.6,0.7,85.7%,0.9,1.4,2.3,0.3,0.1,1.3,0.0,0.1,2.5,1.2,1.7,004575,"PLANINIC, DARKO",25,,BAS,LBO,Baskonia Vitoria-Gasteiz,https://media-cdn.cortextech.io/cbc49cb0-99ce-4462-bdb7-56983ee03cf4.png,2015,E2015
22,10.0,6.0,19.544999999999998,4.8,1.5,3.0,50%,0.4,2.1,19%,0.6,0.9,66.7%,0.7,0.9,1.6,0.9,0.5,1.2,0.1,0.8,1.8,1.1,1.7,004957,"THOMPSON, RYAN",27,,RED,CZT,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png,2015,E2015
24,9.0,3.0,11.887037037037038,3.4,0.9,2.1,42.1%,0.4,1.0,44.4%,0.3,0.7,50%,0.2,1.0,1.2,0.8,0.1,1.4,0.0,0.2,1.2,1.2,1.8,001878,"POCIUS, MARTYNAS",29,https://media-cdn.cortextech.io/f532dca0-474c-4d86-9d0c-143b26b8ba44.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png,2015,E2015
24,9.0,0.0,6.87962962962963,2.7,0.3,0.4,75%,0.7,2.2,30%,0.0,0.0,0%,0.4,0.4,0.9,0.4,0.0,0.1,0.0,0.0,0.4,0.0,1.8,002506,"STAIGER, LUCCA",27,https://media-cdn.cortextech.io/cd656e6b-919e-42ee-8988-892b52b73938.png,BAM,BRO,Bamberger Basketball GmbH,https://media-cdn.incrowdsports.com/85cdd43a-2bbd-4f73-b8f7-76288a5193cb.png,2015,E2015
26,6.0,0.0,12.905555555555557,2.0,0.5,1.0,50%,0.2,0.5,33.3%,0.5,1.0,50%,0.5,1.3,1.8,0.8,0.0,0.8,0.0,0.0,1.5,0.8,1.8,000326,"KANGUR, KRISTJAN",33,,BAS,LBO,Baskonia Vitoria-Gasteiz,https://media-cdn.cortextech.io/cbc49cb0-99ce-4462-bdb7-56983ee03cf4.png,2015,E2015
27,6.0,0.0,12.016666666666666,3.8,1.0,3.5,28.6%,0.0,0.0,0%,1.8,2.0,91.7%,0.8,1.0,1.8,0.5,0.5,1.2,0.3,0.5,2.0,1.3,2.0,BCB,"ZORIC, LUKA",31,https://media-cdn.cortextech.io/f136a7dc-278a-49ec-99c2-7669e53f5a4f.png,CED,CED,KK Cedevita Zagreb,https://media-cdn.incrowdsports.com/ba95084a-224c-4d4a-a306-37a386772f64.png,2015,E2015
28,10.0,1.0,13.488333333333333,4.7,0.5,0.7,71.4%,1.2,3.7,32.4%,0.1,0.1,100%,0.2,0.7,0.9,0.4,0.3,0.4,0.1,0.0,1.6,0.5,2.2,CRU,"CORBACHO, ALBERTO",31,,BAS,LBO,Baskonia Vitoria-Gasteiz,https://media-cdn.cortextech.io/cbc49cb0-99ce-4462-bdb7-56983ee03cf4.png,2015,E2015
28,10.0,9.0,19.311666666666667,3.8,1.4,3.5,40%,0.2,1.9,10.5%,0.4,0.4,100%,0.0,0.9,0.9,3.4,0.4,1.5,0.0,0.2,2.0,1.2,2.2,000531,"GORDIC, NEMANJA",27,https://media-cdn.incrowdsports.com/f544f96b-552c-44a6-a028-12916d5085f5.png,CED,CED,KK Cedevita Zagreb,https://media-cdn.incrowdsports.com/ba95084a-224c-4d4a-a306-37a386772f64.png,2015,E2015
30,9.0,3.0,9.551851851851852,3.0,0.3,0.8,42.9%,0.7,1.3,50%,0.3,0.4,75%,0.1,0.9,1.0,0.6,0.1,0.2,0.3,0.0,1.9,0.6,2.2,005763,"KORKMAZ, FURKAN",18,https://media-cdn.incrowdsports.com/046987df-9e97-4304-b681-644b6f850117.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png,2015,E2015
31,10.0,0.0,7.383333333333333,2.6,0.8,1.9,42.1%,0.0,0.0,0%,1.0,1.2,83.3%,1.0,0.9,1.9,0.2,0.1,0.6,0.4,0.1,1.9,1.0,2.3,003540,"DIOP, ILIMANE",20,https://media-cdn.incrowdsports.com/06ba4860-2029-41d9-af38-d7c646068cfc.png,BAS,LBO,Baskonia Vitoria-Gasteiz,https://media-cdn.cortextech.io/cbc49cb0-99ce-4462-bdb7-56983ee03cf4.png,2015,E2015
32,8.0,0.0,9.6,3.5,1.0,1.5,66.7%,0.4,1.2,30%,0.4,0.9,42.9%,0.6,0.4,1.0,0.6,0.1,0.8,0.0,0.1,1.2,1.1,2.4,002971,"BAYGUL, MUHAMMED",23,https://media-cdn.incrowdsports.com/73e75818-a623-4ab1-898f-d9e42923df5f.png,KSK,KSK,Karsiyaka Spor Kulubu,https://media-cdn.incrowdsports.com/d4b8a6ca-e46f-4fc2-acc2-5cc7368f7a88.png,2015,E2015
33,9.0,3.0,12.338888888888889,3.3,1.0,2.4,40.9%,0.2,1.2,18.2%,0.7,1.2,54.5%,0.9,1.6,2.4,0.6,0.4,0.8,0.3,0.0,1.9,1.1,2.6,004429,"AGRAVANIS, DIMITRIS",21,https://media-cdn.incrowdsports.com/3d98a249-0b03-46bf-a720-f3a83467c405.png,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png,2015,E2015
34,10.0,0.0,13.223333333333333,2.6,0.3,0.6,50%,0.6,2.6,23.1%,0.2,0.3,66.7%,0.1,0.8,0.9,1.2,0.3,0.3,0.0,0.1,0.6,1.0,2.6,001972,"OLESON, BRAD",32,https://media-cdn.cortextech.io/beed3677-8c49-414f-b342-fc05a60ea411.png,BAR,FCB,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png,2015,E2015
35,10.0,5.0,19.395,6.8,1.4,4.1,34.1%,1.2,3.4,35.3%,0.4,0.4,100%,0.4,0.7,1.1,2.0,0.9,1.3,0.0,0.4,2.3,0.8,2.7,005002,"SMITH, JAMAR",28,https://media-cdn.cortextech.io/58710fb5-0bd7-4081-8b3d-dac92ac1dc56.png,MAL,UNI,Unicaja Malaga,https://media-cdn.incrowdsports.com/6342214b-684b-421f-8960-5d20354458da.png,2015,E2015
36,9.0,2.0,13.227777777777778,4.1,0.3,1.6,21.4%,0.9,1.9,47.1%,0.8,0.8,100%,0.1,1.8,1.9,0.6,0.8,0.9,0.2,0.2,2.2,0.8,2.8,BGV,"VIALTSEV, EGOR",30,https://media-cdn.incrowdsports.com/8dad02e7-acdc-41cf-a7ac-9837fdb70c27.png,KHI,KHI,BC Khimki,https://media-cdn.incrowdsports.com/04bd9ac1-e8ed-4b35-8878-272596e5c7d6.png,2015,E2015
37,8.0,1.0,10.8375,3.6,0.5,1.1,44.4%,0.8,2.6,28.6%,0.4,0.4,100%,0.4,2.0,2.4,0.2,0.2,0.6,0.6,0.1,1.8,0.9,3.0,APR,"NOCIONI, ANDRES",36,https://media-cdn.cortextech.io/281e7244-dec6-45ce-909e-50df65157290.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png,2015,E2015
37,9.0,1.0,12.855555555555556,3.6,0.7,2.1,31.6%,0.6,1.6,35.7%,0.6,0.9,62.5%,0.6,1.6,2.1,0.6,0.7,0.8,0.0,0.1,1.3,1.1,3.0,004088,"OSMAN, CEDI",20,https://media-cdn.cortextech.io/dd9f197a-73d3-4d91-a3d5-63b9d7fe0bcc.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png,2015,E2015
37,7.0,4.0,21.03333333333333,4.4,1.4,2.1,66.7%,0.4,2.0,21.4%,0.3,0.4,66.7%,0.7,2.7,3.4,0.7,0.3,1.3,0.7,0.0,3.4,0.6,3.0,005162,"PETWAY, BRENT",30,https://media-cdn.cortextech.io/c8210e70-ef6b-41ae-b53a-12fd9f8160d3.png,SAS,DSS,Polisportiva Dinamo,https://media-cdn.incrowdsports.com/f2916aea-9c1a-46ff-aa3a-04765cb2a60e.png,2015,E2015
37,10.0,4.0,14.88,2.3,0.8,1.6,50%,0.0,0.0,0%,0.7,1.0,70%,0.9,1.6,2.5,0.7,0.2,0.8,0.1,0.2,2.4,1.7,3.0,004551,"ZGANEC, KARLO",20,https://media-cdn.cortextech.io/dd5bced6-2521-45fb-8eb4-b2cfe17bcc6c.png,CED,CED,KK Cedevita Zagreb,https://media-cdn.incrowdsports.com/ba95084a-224c-4d4a-a306-37a386772f64.png,2015,E2015
41,10.0,5.0,16.506666666666668,5.4,2.1,4.8,43.8%,0.0,0.0,0%,1.2,2.0,60%,1.0,3.1,4.1,0.3,0.2,1.6,0.2,0.5,3.0,1.5,3.1,001401,"ZERBO, FREJUS",26,https://media-cdn.cortextech.io/533be135-1295-4779-9590-48a015bcc07a.png,LMG,LIM,Limoges Cercle Saint-Pierre,https://media-cdn.incrowdsports.com/bb6b25c9-7720-4603-96c8-f5f6205e8a19.png,2015,E2015
42,6.0,0.0,10.666666666666666,4.2,1.8,3.5,52.4%,0.2,0.2,100%,0.0,0.0,0%,0.3,1.2,1.5,0.5,0.2,0.0,0.0,0.2,1.5,0.2,3.2,001398,"DUPORT, ROMAIN",29,https://media-cdn.cortextech.io/228f9e70-ccff-43ec-9f0c-35d5e37efe91.png,STR,SIG,Strasbourg Illkirch-Graffenstaden Basket,https://media-cdn.incrowdsports.com/554f980e-fded-4943-ab5b-541f1f36f6a9.png,2015,E2015
43,10.0,9.0,26.861666666666668,5.3,0.3,1.9,15.8%,1.1,4.8,22.9%,1.4,1.6,87.5%,0.5,1.1,1.6,1.7,1.1,0.9,0.1,0.1,2.2,2.1,3.2,001910,"CARTER, JOSH",29,,KSK,KSK,Karsiyaka Spor Kulubu,https://media-cdn.incrowdsports.com/d4b8a6ca-e46f-4fc2-acc2-5cc7368f7a88.png,2015,E2015
43,10.0,8.0,17.85,4.3,1.0,1.8,55.6%,0.5,2.2,22.7%,0.8,1.0,80%,0.2,1.6,1.8,1.0,0.5,0.8,0.0,0.3,1.9,1.3,3.2,JCC,"MACIULIS, JONAS",30,https://media-cdn.cortextech.io/ba7a2ede-2c2c-4cec-9c85-7143c79c2e7a.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png,2015,E2015
45,9.0,4.0,8.690740740740742,4.3,1.8,3.3,53.3%,0.0,0.1,0%,0.8,1.0,77.8%,1.0,1.6,2.6,0.1,0.2,0.6,0.0,0.4,2.3,1.2,3.2,005460,"HARRIS, ELIAS",26,https://media-cdn.cortextech.io/214b4fa2-16fd-4ef9-b8ac-b08745e7628f.png,BAM,BRO,Bamberger Basketball GmbH,https://media-cdn.incrowdsports.com/85cdd43a-2bbd-4f73-b8f7-76288a5193cb.png,2015,E2015
45,9.0,1.0,15.405555555555557,5.4,2.3,5.4,42.9%,0.0,0.0,0%,0.8,1.2,63.6%,1.0,1.8,2.8,0.3,0.2,1.1,0.3,0.0,2.4,1.2,3.2,AXC,"VAZQUEZ, FRAN",32,https://media-cdn.cortextech.io/a008c09c-b51e-4763-9eca-3d3f1a1438be.png,MAL,UNI,Unicaja Malaga,https://media-cdn.incrowdsports.com/6342214b-684b-421f-8960-5d20354458da.png,2015,E2015
47,8.0,0.0,9.158333333333333,4.0,1.6,1.9,86.7%,0.0,0.4,0%,0.8,0.8,100%,0.6,1.0,1.6,0.4,0.2,0.5,0.1,0.2,2.5,0.8,3.2,003571,"KOROBKOV, PAVEL",25,,CSK,CSK,CSKA Moscow,https://media-cdn.incrowdsports.com/b6a59212-7feb-4f8c-86c2-5e8f07625e3e.png,2015,E2015
48,10.0,0.0,13.828333333333333,4.5,1.2,2.0,60%,0.4,1.4,28.6%,0.9,1.2,75%,0.3,1.6,1.9,0.6,0.2,1.0,0.0,0.3,2.0,1.5,3.3,003573,"ZUBKOV, ANDREY",24,https://media-cdn.incrowdsports.com/08fac229-0cd6-4d04-8929-93b0fbedcde9.png,TIV,LOK,Lokomotiv Kuban,https://media-cdn.incrowdsports.com/10d99d78-4206-411d-83d2-db7abc63c6ae.png,2015,E2015
49,9.0,1.0,16.41111111111111,5.0,1.8,4.1,43.2%,0.3,0.9,37.5%,0.4,0.7,66.7%,1.7,1.7,3.3,0.6,0.3,1.0,0.1,0.3,2.4,1.1,3.6,001430,"DJURISIC, NEMANJA",23,https://media-cdn.cortextech.io/bd9d29c3-b1a8-44ae-bde8-4e91351a4aa4.png,GSS,ZGA,GSS Akcyjna,https://media-cdn.incrowdsports.com/abebfbc3-2dcd-4cc5-91f3-37dae527f363.png,2015,E2015
50,10.0,6.0,18.691666666666666,5.3,1.4,3.2,43.7%,0.5,2.0,25%,1.0,1.1,90.9%,0.6,1.3,1.9,2.9,0.6,1.6,0.1,0.3,3.0,1.1,3.6,000622,"OHAYON, YOGEV",28,https://media-cdn.cortextech.io/7effca38-388f-41bc-89fc-2578c007745b.png,TEL,MAC,Maccabi Rapyd Tel Aviv,https://media-cdn.cortextech.io/1b533342-78f5-4932-b714-a7d80b5826b5.png,2015,E2015
50,10.0,4.0,17.68,5.0,0.6,1.3,46.2%,1.1,3.3,33.3%,0.5,0.7,71.4%,0.4,1.4,1.8,0.8,0.4,0.7,0.2,0.1,1.9,1.2,3.6,LPY,"ZAMOJSKI, PRZEMYSLAW",29,https://media-cdn.cortextech.io/29c91288-fed0-409f-ba7a-ccdf77fc6073.png,GSS,ZGA,GSS Akcyjna,https://media-cdn.incrowdsports.com/abebfbc3-2dcd-4cc5-91f3-37dae527f363.png,2015,E2015
52,8.0,0.0,15.689583333333333,4.2,0.8,2.4,31.6%,0.9,1.5,58.3%,0.1,0.2,50%,0.2,1.2,1.5,0.9,1.0,1.0,0.0,0.2,1.9,1.5,3.6,003210,"LEKAVICIUS, LUKAS",21,https://media-cdn.incrowdsports.com/e03b2138-ce9d-477b-9745-555d0ff9adb0.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png,2015,E2015
53,10.0,6.0,16.561666666666667,4.2,1.0,2.2,45.5%,0.5,1.5,33.3%,0.7,1.0,70%,0.4,1.4,1.8,1.6,0.8,1.4,0.1,0.2,1.8,1.1,3.7,004992,"ALTINTIG, CAN",28,,KSK,KSK,Karsiyaka Spor Kulubu,https://media-cdn.incrowdsports.com/d4b8a6ca-e46f-4fc2-acc2-5cc7368f7a88.png,2015,E2015
53,10.0,1.0,13.911666666666667,3.8,0.9,1.5,60%,0.4,1.1,36.4%,0.8,1.3,61.5%,0.5,1.7,2.2,1.2,0.3,0.8,0.2,0.2,2.1,0.9,3.7,006420,"HECKMANN, PATRICK",23,https://media-cdn.incrowdsports.com/869361ed-b661-4c3b-a1fd-60cce47b3942.png,BAM,BRO,Bamberger Basketball GmbH,https://media-cdn.incrowdsports.com/85cdd43a-2bbd-4f73-b8f7-76288a5193cb.png,2015,E2015
55,8.0,1.0,12.222916666666666,4.5,0.6,1.2,50%,0.9,1.9,46.7%,0.6,0.6,100%,0.4,1.0,1.4,0.6,0.1,0.4,0.0,0.1,1.8,1.0,3.8,003469,"VEZENKOV, SASHA",20,https://media-cdn.cortextech.io/9e32629d-7b41-4a3e-8506-2c7e4b92859d.png,BAR,FCB,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png,2015,E2015
56,10.0,4.0,11.615,3.1,1.2,1.8,66.7%,0.0,0.0,0%,0.7,0.9,77.8%,1.3,0.9,2.2,0.6,0.4,0.9,0.4,0.1,2.2,1.1,3.8,001258,"FOFANA, BANGALY",26,https://media-cdn.cortextech.io/2878e79b-3ae1-4587-905f-0a269042c0b2.png,STR,SIG,Strasbourg Illkirch-Graffenstaden Basket,https://media-cdn.incrowdsports.com/554f980e-fded-4943-ab5b-541f1f36f6a9.png,2015,E2015
57,6.0,4.0,12.033333333333333,4.0,1.7,3.0,55.6%,0.0,0.0,0%,0.7,1.0,66.7%,1.3,1.7,3.0,0.3,0.5,0.8,0.3,0.3,2.3,0.8,3.8,003941,"MILUTINOV, NIKOLA",21,https://media-cdn.cortextech.io/eaac00b9-51c3-4824-83b3-5d1c9ce00881.png,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png,2015,E2015
58,9.0,8.0,21.45925925925926,3.7,0.9,2.1,42.1%,0.3,1.2,27.3%,0.9,1.1,80%,0.6,1.7,2.2,2.1,1.2,1.8,0.0,0.1,2.8,1.7,3.9,LUO,"LAZIC, BRANKO",26,https://media-cdn.incrowdsports.com/6dcc04d5-821e-4113-a665-029a43d76425.png,RED,CZT,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png,2015,E2015
